"Snapdragon 8 Elite (Gen 4)
"Snapdragon 865 Plus
Qualcomm","48
 B",737495,1162 / 3276,"8
 (1+3+4)",3100 MHz,Adreno 650
"Dimensity 1100
MediaTek","46
 B",748430,1104 / 3321,"8
 (4+4)",2600 MHz,Mali-G77 MP9
"Snapdragon 865
Qualcomm","47
 B",758854,1117 / 3274,"8
 (1+3+4)",2840 MHz,Adreno 650
"Snapdragon 7s Gen 3
Qualcomm","49
 B",769706,1178 / 3146,"8
 (1+3+4)",2500 MHz,Adreno 810
"Dimensity 1200
MediaTek","47
 B",759514,1113 / 3172,"8
 (1+3+4)",3000 MHz,Mali-G77 MP9
"Snapdragon 6 Gen 4
Qualcomm","46
 B",709938,1091 / 3085,"8
 (1+3+4)",2300 MHz,Adreno 810
"Dimensity 1000 Plus
MediaTek","43
 B",582561,1031 / 3123,"8
 (4+4)",2600 MHz,Mali-G77 MP9
"A12 Bionic
Apple","49
 B",695691,1292 / 2837,"6
 (2+4)",2490 MHz,Apple A12 GPU
"Kirin 990 (5G)
HiSilicon","44
 B",714339,964 / 3146,"8
 (2+2+4)",2860 MHz,Mali-G76 MP16
"Dimensity 7300
MediaTek","44
 B",675069,1058 / 3025,"8
 (4+4)",2500 MHz,Mali-G615 MP2
"Snapdragon 778G Plus
Qualcomm","43
 B",635680,1064 / 3006,"8
 (1+3+4)",2500 MHz,Adreno 642
"Dimensity 7400
MediaTek","46
 B",777255,1033 / 2949,"8
 (4+4)",2600 MHz,Mali-G615 MP2
"Snapdragon 7s Gen 2
Qualcomm","42
 B",608141,1012 / 2943,"8
 (4+4)",2400 MHz,Adreno 710
"Kirin 8000
HiSilicon","41
 B",574704,999 / 2948,"8
 (1+3+4)",2400 MHz,Mali-G610 MP4
"Snapdragon 782G
Qualcomm","44
 B",682050,1119 / 2820,"8
 (1+3+4)",2700 MHz,Adreno 642
"Snapdragon 6 Gen 3
Qualcomm","42
 B",620769,1017 / 2910,"8
 (4+4)",2400 MHz,Adreno 710
"Snapdragon 855 Plus
Qualcomm","43
 B",618133,1031 / 2864,"8
 (1+3+4)",2960 MHz,Adreno 640
"Snapdragon 778G
Qualcomm","42
 B",597653,1017 / 2841,"8
 (1+3+4)",2400 MHz,Adreno 642
"Dimensity 7200 Ultra
MediaTek","46
 B",750632,1128 / 2710,"8
 (2+6)",2800 MHz,Mali-G610 MP4
"Dimensity 7200
MediaTek","46
 B",718576,1187 / 2643,"8
 (2+6)",2800 MHz,Mali-G610 MP4
"Dimensity 7350
MediaTek","48
 B",753533,1195 / 2622,"8
 (2+6)",3000 MHz,Mali-G610 MP4
"Snapdragon 780G
Qualcomm","43
 B",633483,1040 / 2743,"8
 (1+3+4)",2400 MHz,Adreno 642
"Snapdragon 855
Qualcomm","42
 B",610427,930 / 2834,"8
 (1+3+4)",2840 MHz,Adreno 640
"Exynos 1380
Samsung","39
 B",599184,999 / 2758,"8
 (4+4)",2400 MHz,Mali-G68 MP5
"Snapdragon 7 Gen 1
Qualcomm","44
 B",678813,964 / 2761,"8
 (1+3+4)",2400 MHz,Adreno 644
"Snapdragon 6 Gen 1
Qualcomm","40
 B",558590,943 / 2748,"8
 (4+4)",2200 MHz,Adreno 710
"Snapdragon 860
Qualcomm","43
 B",643951,988 / 2560,"8
 (1+3+4)",2960 MHz,Adreno 640
"Exynos 990
Samsung","44
 B",737285,840 / 2670,"8
 (2+2+4)",2730 MHz,Mali-G77 MP11
"Dimensity 7025
MediaTek","38
 B",474357,1024 / 2472,"8
 (2+6)",2500 MHz,IMG BXM-8-256
"Dimensity 7030
MediaTek","40
 B",540999,1024 / 2412,"8
 (2+6)",2500 MHz,Mali-G610 MP3
"A11 Bionic
Apple","40
 B",488688,1087 / 2346,"6
 (2+4)",2390 MHz,Apple A11 GPU
"Dimensity 1050
MediaTek","37
 B",527778,986 / 2432,"8
 (2+6)",2500 MHz,Mali-G610 MP3
"Dimensity 1080
MediaTek","39
 B",545403,965 / 2409,"8
 (2+6)",2600 MHz,Mali-G68 MP4
"Dimensity 820
MediaTek","37
 B",487164,845 / 2484,"8
 (4+4)",2600 MHz,Mali-G57 MP5
"Unisoc T820
Unisoc","36
 B",540711,888 / 2433,"8
 (1+3+4)",2700 MHz,Mali-G57 MP4
"Dimensity 7050
MediaTek","40
 B",588272,956 / 2343,"8
 (2+6)",2600 MHz,Mali-G68 MP4
"Dimensity 930
MediaTek","38
 B",464386,920 / 2325,"8
 (2+6)",2200 MHz,IMG BXM-8-256
"Dimensity 920
MediaTek","39
 B",548039,926 / 2310,"8
 (2+6)",2500 MHz,Mali-G68 MP4
"Dimensity 7020
MediaTek","37
 B",462274,884 / 2291,"8
 (2+6)",2200 MHz,IMG BXM-8-256
"Dimensity 900
MediaTek","37
 B",511291,898 / 2239,"8
 (2+6)",2400 MHz,Mali-G68 MP4
"Unisoc T760
Unisoc","34
 C",472470,744 / 2390,"8
 (4+4)",2200 MHz,Mali-G57 MP4
"Exynos 9820
Samsung","39
 B",627682,741 / 2317,"8
 (2+2+4)",2730 MHz,Mali-G76 MP12
"Exynos 1330
Samsung","36
 B",438848,929 / 2128,"8
 (2+6)",2400 MHz,Mali-G68 MP2
"Snapdragon 6s Gen 3
Qualcomm","37
 B",468323,940 / 2115,"8
 (2+6)",2300 MHz,Adreno 619
"Snapdragon 695
Qualcomm","35
 B",442196,908 / 2134,"8
 (2+6)",2200 MHz,Adreno 619
"Snapdragon 4 Gen 2
Qualcomm","36
 B",426967,918 / 2121,"8
 (2+6)",2200 MHz,Adreno 613
"Exynos 9825
Samsung","40
 B",656151,669 / 2354,"8
 (2+2+4)",2730 MHz,Mali-G76 MP12
"Snapdragon 750G
Qualcomm","34
 C",396590,875 / 2095,"8
 (2+6)",2200 MHz,Adreno 619
